val/loss_simple,val/loss_vlb,val/loss,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,epoch,step,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch,train/epoch/loss,train/epoch/idx,train/epoch/time,train/epoch/time_avg,train/epoch/time_avg_min,lr-OSS,train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step
0.5191349387168884,0.0023726695217192173,0.5191349387168884,0.5213960409164429,0.002883453154936433,0.5213960409164429,0,24,,,,,,,,,,,,,
,,,,,,0,24,0.6716852784156799,0.006214456167072058,0.6716852784156799,0.3358425796031952,0.0,0.0,0.0,0.0,,,,,
,,,,,,,49,,,,,,,,,6e-05,,,,
,,,,,,1,49,,,,,,,,,,0.25547248125076294,0.0013139500515535474,0.25547248125076294,49.0
0.24456444382667542,0.0014370871940627694,0.24456444382667542,0.24221394956111908,0.0012668002163991332,0.24221394956111908,1,49,,,,,,,,,,,,,
,,,,,,1,49,0.3911280632019043,0.0027514754328876734,0.3911280632019043,0.19556404650211334,1.0,132.18263244628906,132.18263244628906,2.2030439376831055,,,,,
0.12872314453125,0.0008475013310089707,0.12872314453125,0.12390751391649246,0.0007102260133251548,0.12390751391649246,2,74,,,,,,,,,,,,,
,,,,,,2,74,0.16706229746341705,0.0017548621399328113,0.16706229746341705,0.08353114128112793,2.0,130.08499145507812,131.13381958007812,2.185563564300537,,,,,
,,,,,,,99,,,,,,,,,6e-05,,,,
,,,,,,3,99,,,,,,,,,,0.08458027243614197,0.0003461511805653572,0.08458027243614197,99.0
0.07789447158575058,0.0004109459405299276,0.07789447158575058,0.08746449649333954,0.0023519976530224085,0.08746449649333954,3,99,,,,,,,,,,,,,
